global_step,episode,type,actor_loss,critic_loss,reward,avg_recent_reward,fell,seq_len,note,time
1,4,update,-0.27391546964645386,0.04384888615459204,-0.7762919068336487,-0.4202432930469513,False,35,Qμ=0.277 Rμ=-0.023 Qrng=0.764; buffer=175,2025-08-23T23:48:15
2,9,update,0.0035478670615702868,0.03742598241660744,-0.8872009515762329,-1.161847138404846,False,35,Qμ=-0.010 Rμ=-0.009 Qrng=1.103; buffer=175,2025-08-23T23:48:20
3,14,update,0.0293032918125391,0.007066808262607083,-1.3840675354003906,-1.0576809287071227,False,35,Qμ=-0.032 Rμ=-0.025 Qrng=1.140; buffer=175,2025-08-23T23:48:21
4,19,update,0.016449561342597008,0.03380174562335014,-1.8173601627349854,-1.3257824420928954,False,35,Qμ=-0.028 Rμ=-0.005 Qrng=0.552; buffer=175,2025-08-23T23:48:22
2,9,update,-0.2597470283508301,0.04103971365839243,-0.9365015029907227,-1.260981011390686,False,35,Qμ=0.264 Rμ=-0.013 Qrng=1.314; buffer=175,2025-08-23T23:48:22
5,24,update,-0.00014472007751464844,0.039407093077898026,-1.8412325382232666,-1.5374917268753052,False,35,Qμ=0.002 Rμ=-0.070 Qrng=1.298; buffer=175,2025-08-23T23:48:24
6,29,update,0.018419479951262474,0.008619929634733126,-1.7723398208618164,-1.4396151065826417,False,35,Qμ=-0.012 Rμ=-0.029 Qrng=0.684; buffer=175,2025-08-23T23:48:25
7,34,update,0.029726648703217506,0.1375093124806881,-1.0576080083847046,-1.3416067361831665,False,35,Qμ=-0.010 Rμ=-0.041 Qrng=0.826; buffer=175,2025-08-23T23:48:26
8,39,update,0.018495917320251465,0.057643793523311615,-1.096323847770691,-1.0634220719337464,False,35,Qμ=-0.013 Rμ=-0.061 Qrng=0.658; buffer=175,2025-08-23T23:48:27
9,44,update,0.00828204583376646,0.39585235714912415,-1.4090782403945923,-1.2237815141677857,False,35,Qμ=-0.017 Rμ=-0.036 Qrng=0.588; buffer=175,2025-08-23T23:48:28
10,49,update,0.049823444336652756,0.1483367271721363,-1.3574693202972412,-1.2533366680145264,False,35,Qμ=-0.050 Rμ=-0.045 Qrng=1.401; buffer=175,2025-08-23T23:48:29
3,14,update,-0.219760000705719,0.005404290976002812,-1.2481330633163452,-0.8750540494918824,False,35,Qμ=0.258 Rμ=-0.074 Qrng=0.959; buffer=175,2025-08-23T23:48:30
11,54,update,0.049962595105171204,0.07264998368918896,-2.138025999069214,-1.3771683812141418,False,35,Qμ=-0.046 Rμ=-0.009 Qrng=0.752; buffer=175,2025-08-23T23:48:30
